station_id,timestamp,temp_c,pressure_hpa,rh_pct
PUNE,2024-01-01T00:00:00Z,19.3,950.3,66
PUNE,2024-01-01T01:00:00Z,17.9,951.5,68
PUNE,2024-01-01T02:00:00Z,17.3,951.9,71
PUNE,2024-01-01T03:00:00Z,18.4,952.8,71
PUNE,2024-01-01T04:00:00Z,21.5,954.1,60
PUNE,2024-01-01T05:00:00Z,24.2,954.2,52
PUNE,2024-01-01T06:00:00Z,26.5,953.7,46
PUNE,2024-01-01T07:00:00Z,28.2,952.6,39
PUNE,2024-01-01T08:00:00Z,29.0,951.4,35
PUNE,2024-01-01T09:00:00Z,29.4,950.5,34
PUNE,2024-01-01T10:00:00Z,29.5,950.0,33
PUNE,2024-01-01T11:00:00Z,29.1,949.7,34
PUNE,2024-01-01T12:00:00Z,27.3,949.5,38
PUNE,2024-01-01T13:00:00Z,22.4,949.6,46
PUNE,2024-01-01T14:00:00Z,22.5,950.5,42
PUNE,2024-01-01T15:00:00Z,21.2,950.9,44
PUNE,2024-01-01T16:00:00Z,19.9,951.2,53
PUNE,2024-01-01T17:00:00Z,20.9,951.3,52
PUNE,2024-01-01T18:00:00Z,18.6,950.7,62
PUNE,2024-01-01T19:00:00Z,17.4,949.9,67
PUNE,2024-01-01T20:00:00Z,17.0,949.5,71
PUNE,2024-01-01T21:00:00Z,18.2,949.4,68
PUNE,2024-01-01T22:00:00Z,16.4,948.6,78
PUNE,2024-01-01T23:00:00Z,15.9,948.7,81
PUNE,2024-01-02T00:00:00Z,17.0,949.1,74
PUNE,2024-01-02T01:00:00Z,16.1,950.1,83
PUNE,2024-01-02T02:00:00Z,16.6,950.8,80
PUNE,2024-01-02T03:00:00Z,18.4,951.7,74
PUNE,2024-01-02T04:00:00Z,22.0,952.9,58
PUNE,2024-01-02T05:00:00Z,25.1,952.9,48
PUNE,2024-01-02T06:00:00Z,27.3,952.3,43
PUNE,2024-01-02T07:00:00Z,28.6,951.2,38
PUNE,2024-01-02T08:00:00Z,29.4,950.1,35
PUNE,2024-01-02T09:00:00Z,30.0,949.3,33
PUNE,2024-01-02T10:00:00Z,30.0,948.6,32
PUNE,2024-01-02T11:00:00Z,29.5,948.7,32
PUNE,2024-01-02T12:00:00Z,27.9,948.5,52
PUNE,2024-01-02T13:00:00Z,24.7,949.1,43
PUNE,2024-01-02T14:00:00Z,22.1,949.6,52
PUNE,2024-01-02T15:00:00Z,21.7,950.6,54
PUNE,2024-01-02T16:00:00Z,20.7,951.0,59
PUNE,2024-01-02T17:00:00Z,20.1,950.9,62
PUNE,2024-01-02T18:00:00Z,20.1,950.7,65
PUNE,2024-01-02T19:00:00Z,19.1,950.0,71
PUNE,2024-01-02T20:00:00Z,18.1,949.4,77
PUNE,2024-01-02T21:00:00Z,18.3,949.0,77
PUNE,2024-01-02T22:00:00Z,19.1,949.1,73
PUNE,2024-01-02T23:00:00Z,18.8,948.7,75
PUNE,2024-01-03T00:00:00Z,16.6,948.6,87
PUNE,2024-01-03T01:00:00Z,17.9,949.8,82
PUNE,2024-01-03T02:00:00Z,16.9,950.3,88
PUNE,2024-01-03T03:00:00Z,18.6,951.2,80
PUNE,2024-01-03T04:00:00Z,21.9,952.4,64
PUNE,2024-01-03T05:00:00Z,24.7,952.7,53
PUNE,2024-01-03T06:00:00Z,27.0,951.9,45
PUNE,2024-01-03T07:00:00Z,28.5,950.4,39
PUNE,2024-01-03T08:00:00Z,29.4,949.3,35
PUNE,2024-01-03T09:00:00Z,29.8,948.5,33
PUNE,2024-01-03T10:00:00Z,29.7,947.9,32
PUNE,2024-01-03T11:00:00Z,29.7,947.7,29
PUNE,2024-01-03T12:00:00Z,27.6,947.6,39
PUNE,2024-01-03T13:00:00Z,24.0,947.7,44
PUNE,2024-01-03T14:00:00Z,23.8,948.7,44
PUNE,2024-01-03T15:00:00Z,21.3,949.3,56
PUNE,2024-01-03T16:00:00Z,21.0,950.1,64
